,Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received,Gls 90,Ast 90,G+A 90,G-PK 90,G+A-PK,xG 90,xAG 90,xG+xAG,npxG 90,npxG+xAG 90,Matches,A-xAG,Crosses into Penalty Area,Key Passes,Long Passes Attempted,Long Passes Completed,Long Passes Success %,Medium Passes Attempted,Medium Passes Completed,Medium Passes Success %,Passes into Final Third,Passes into Penalty Area,Progressive Passing Distance,Short Passes Attenpted,Short Passes Completed,Short Passes Success %,Total Passes Attempted,Total Passes Completed,Total Passes Success %,Total Passing Distance,xA,Corner Kick Outward,Corner Kick Straight,Corner Kicks,Corner Kicks Inward,Crosses,Dead-ball Passes,Free Kicks Passes,Live-ball Passes,Passes Blocked by Opponent,Passes Completed,Passes Offside,Switches,Through Balls,Throw Ins,% Dribblers Tackled,Challenges Lost,Clearances,Defensive Errors,Dribblers Tackled,Dribbles Challenged,Interceptions,Passes Blocked,Shots Blocked,Tackles,Tackles Att 3rd,Tackles Def 3rd,Tackles Mid 3rd,Tackles Won,Tackles+Interceptions,Total Blocks
226,219,Jose Domínguez,py PAR,DF,Lanús,27-283,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,-0.1,0,1,9,5,55.6,40,34,85.0,3,0,519,25,23,92.0,74,62,83.8,1144,0.2,0,0,0,0,0,5,3,69,0,62,0,0,0,1,50.0,1,13,0,1,2,0,0,0,1,0,1,0,1,1,0
227,220,Nery Domínguez,ar ARG,DF,Lanús,34-019,1990,8,5,509,5.7,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,5,24,3,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches,-0.5,0,3,67,34,50.7,146,135,92.5,21,4,2142,79,63,79.7,300,235,78.3,4972,0.8,0,0,0,0,1,20,20,279,2,235,1,2,0,0,68.4,6,20,1,13,19,8,5,3,25,0,15,10,13,33,8
228,221,Nicolás Dubersarsky,ar ARG,MF,Instituto,19-129,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229,222,Facundo Echevarría,ar ARG,"MF,FW",Defensa y Just,21-272,2002,3,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,2,0,0.0,3,1,33.3,0,0,0,3,3,100.0,8,4,50.0,35,0.0,0,0,0,0,1,0,0,8,0,4,0,0,1,0,,0,0,0,0,0,1,0,0,2,0,0,2,2,3,0
230,223,Claudio Echeverri,ar ARG,MF,River Plate,18-117,2006,9,6,473,5.3,1,2,3,1,0,0,0,0,1.1,1.1,0.6,1.7,20,42,48,0.19,0.38,0.57,0.19,0.57,0.21,0.12,0.33,0.21,0.33,Matches,+1.4,0,9,45,23,51.1,105,89,84.8,33,3,973,137,123,89.8,303,240,79.2,3908,0.6,15,0,22,5,30,39,8,263,7,240,1,3,0,4,57.1,3,1,0,4,7,1,4,0,6,3,0,3,4,7,4
231,224,Marcos Echeverría,ar ARG,FW,Banfield,20-287,2003,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,0,0,,2,2,100.0,0,0,24,4,4,100.0,7,6,85.7,74,0.0,0,0,0,0,0,1,0,6,1,6,0,0,0,1,0.0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1
232,225,Rodrigo Echeverría,cl CHI,MF,CA Huracán,29-011,1995,13,13,1124,12.5,0,0,0,0,0,0,4,1,0.7,0.7,0.3,1.0,10,50,6,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,-0.3,0,10,75,52,69.3,225,183,81.3,29,3,2909,245,211,86.1,567,459,81.0,7962,0.3,0,0,0,0,6,34,24,533,7,459,0,6,0,10,50.0,16,21,0,16,32,15,12,4,35,5,14,16,21,50,16
233,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,A-xAG,CrsPA,KP,Att,Cmp,Cmp%,Att,Cmp,Cmp%,1/3,PPA,PrgDist,Att,Cmp,Cmp%,Att,Cmp,Cmp%,TotDist,xA,Out,Str,CK,In,Crs,Dead,FK,Live,Blocks,Cmp,Off,Sw,TB,TI,Tkl%,Lost,Clr,Err,Tkl,Att,Int,Pass,Sh,Tkl,Att 3rd,Def 3rd,Mid 3rd,TklW,Tkl+Int,Blocks
234,226,Guillermo Enrique,ar ARG,DF,Gimnasia ELP,24-064,2000,5,2,250,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,6,13,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,-0.1,4,3,28,13,46.4,40,25,62.5,12,5,1007,47,35,74.5,122,74,60.7,1401,0.2,0,0,0,0,12,30,0,92,5,74,0,0,0,30,83.3,1,12,1,5,6,3,0,0,7,0,5,2,5,10,0
235,227,Julián Eseiza,ar ARG,MF,Godoy Cruz,22-072,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,1.43,0.00,1.43,1.43,1.43,Matches,0.0,0,0,0,0,,0,0,,0,0,6,4,4,100.0,4,4,100.0,44,0.0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,228,Matias Espíndola,ar ARG,"MF,FW",Tigre,20-154,2003,6,1,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,8,11,9,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,-0.1,0,4,10,9,90.0,48,42,87.5,15,2,430,69,62,89.9,138,119,86.2,1829,0.2,0,0,0,0,1,7,5,131,3,119,0,4,0,2,57.1,3,0,0,4,7,1,3,0,7,1,2,4,4,8,3
237,229,Juan Esquivel,ar ARG,"FW,MF",Tigre,23-250,2000,13,5,612,6.8,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,22,13,38,0.15,0.00,0.15,0.15,0.15,0.13,0.07,0.19,0.13,0.19,Matches,-0.4,1,6,11,6,54.5,35,28,80.0,11,2,370,85,70,82.4,151,110,72.8,1527,0.8,0,0,1,0,6,3,0,147,12,110,1,3,1,2,33.3,8,3,0,4,12,4,10,1,9,1,3,5,5,13,11
238,230,Marcelo Estigarribia,ar ARG,FW,Tucumán,28-354,1995,13,13,1019,11.3,0,4,4,0,0,0,3,0,3.0,3.0,2.0,5.0,8,25,62,0.00,0.35,0.35,0.00,0.35,0.26,0.18,0.44,0.26,0.44,Matches,+2.0,0,16,18,7,38.9,53,29,54.7,18,4,521,168,108,64.3,276,156,56.5,1967,1.1,0,0,0,0,10,16,0,257,7,156,3,2,0,2,50.0,4,14,0,4,8,2,7,1,10,5,0,5,8,12,8
239,231,Yair Ezequiel Arismendi,ar ARG,MF,Sarmiento,26-023,1998,7,3,395,4.4,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,4,,,,,,,5,,
240,232,Frank Fabra,co COL,DF,Boca Juniors,33-066,1991,5,2,190,2.1,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,8,17,18,0.00,0.47,0.47,0.00,0.47,0.00,0.21,0.21,0.00,0.21,Matches,+0.5,2,2,16,7,43.8,44,36,81.8,4,6,667,72,62,86.1,140,105,75.0,1639,0.2,0,0,0,0,6,17,0,122,4,105,1,2,0,17,20.0,4,7,0,1,5,1,3,0,5,1,2,2,2,6,3
241,233,Francisco Facello,ar ARG,DF,Belgrano,21-108,2003,3,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,0.0,0,0,15,5,33.3,22,13,59.1,4,1,270,12,10,83.3,52,28,53.8,626,0.0,0,0,0,0,2,14,0,38,2,28,0,1,0,14,55.6,4,6,0,5,9,0,2,0,7,1,4,2,3,7,2
242,234,Valentín Fascendini,ar ARG,DF,CA Unión,21-046,2003,3,1,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,4,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,0.0,0,0,10,4,40.0,33,30,90.9,3,0,353,12,8,66.7,61,42,68.9,920,0.0,0,0,0,0,3,4,1,56,1,42,1,2,0,3,,0,4,0,0,0,0,2,0,2,0,0,2,1,2,2
243,235,Lautaro Fedele,ar ARG,FW,Defensa y Just,22-289,2001,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,1,0,0.0,1,0,0.0,2,0,20,6,5,83.3,8,5,62.5,50,0.0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
244,236,Juan Fedorco,ar ARG,DF,Independiente,23-152,2000,8,7,622,6.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,-0.1,1,2,59,22,37.3,121,102,84.3,20,1,1759,58,52,89.7,245,178,72.7,3698,0.1,0,0,0,0,2,3,2,241,2,178,1,4,0,1,85.7,1,34,0,6,7,7,1,2,19,1,12,6,12,26,3
